Date,Open,High,Low,Close,Adj Close,Volume
31/10/2022,2200,2266,2103,2183,2183,1505600
1/11/2022,2255,2640,2219,2425,2425,11917100
2/11/2022,2389,2443,2284,2298,2298,3711100
4/11/2022,2252,2260,2162,2192,2192,799400
7/11/2022,2242,2265,2121,2165,2165,625000
8/11/2022,2165,2187,2085,2086,2086,391600
9/11/2022,2070,2243,2055,2130,2130,736200
10/11/2022,2130,2279,2105,2250,2250,496800
11/11/2022,2300,2320,2204,2255,2255,438800
14/11/2022,2300,2430,2275,2409,2409,643800
15/11/2022,1953,2126,1926,2016,2016,1240100
16/11/2022,1982,2049,1840,1843,1843,672300
17/11/2022,1855,1920,1823,1896,1896,449800
18/11/2022,1913,1913,1823,1839,1839,246800
21/11/2022,1844,2080,1844,2040,2040,624500
22/11/2022,2069,2220,2069,2206,2206,822000
24/11/2022,2219,2270,2130,2243,2243,453700
25/11/2022,2220,2394,2213,2323,2323,380900
28/11/2022,2290,2325,2140,2151,2151,264700
29/11/2022,2101,2254,2049,2153,2153,217100
30/11/2022,2153,2220,2120,2147,2147,75300
1/12/2022,2181,2217,2035,2168,2168,287800
2/12/2022,2150,2194,2061,2075,2075,101700
5/12/2022,2052,2060,1969,2012,2012,177100
6/12/2022,2050,2052,1968,1977,1977,192500
7/12/2022,1937,1980,1905,1967,1967,68400
8/12/2022,1947,1956,1866,1903,1903,132200
9/12/2022,1922,1994,1905,1977,1977,91600
12/12/2022,1955,2032,1955,2005,2005,63400
13/12/2022,2005,2045,1933,1946,1946,85900
14/12/2022,1945,1945,1873,1883,1883,128100
15/12/2022,1900,1932,1858,1882,1882,97400
16/12/2022,1858,1909,1831,1909,1909,87500
19/12/2022,1904,1963,1885,1923,1923,74500
20/12/2022,1923,1923,1721,1788,1788,197200
21/12/2022,1756,1792,1652,1774,1774,111300
22/12/2022,1814,1814,1714,1771,1771,62800
23/12/2022,1731,1731,1667,1703,1703,103500
26/12/2022,1677,1690,1590,1605,1605,166500
27/12/2022,1605,1751,1591,1699,1699,122200
28/12/2022,1689,1706,1622,1670,1670,81600
29/12/2022,1651,1811,1651,1771,1771,100000
30/12/2022,1800,1805,1730,1765,1765,58700
4/1/2023,1720,1765,1656,1673,1673,48200
5/1/2023,1710,1735,1685,1687,1687,34300
6/1/2023,1672,1680,1630,1661,1661,51900
10/1/2023,1653,1703,1639,1647,1647,53400
11/1/2023,1656,1786,1656,1772,1772,93700
12/1/2023,1820,1820,1705,1720,1720,89500
13/1/2023,1710,1758,1697,1749,1749,27200
16/1/2023,1722,1880,1721,1879,1879,102900
17/1/2023,1909,1928,1830,1925,1925,125600
18/1/2023,1951,2049,1950,2025,2025,260100
19/1/2023,2026,2213,2022,2187,2187,287800
20/1/2023,2200,2207,2075,2126,2126,234900
23/1/2023,2144,2200,2095,2193,2193,150500
24/1/2023,2190,2220,2144,2160,2160,122600
25/1/2023,2132,2153,2066,2135,2135,100900
26/1/2023,2134,2215,2115,2161,2161,179400
27/1/2023,2165,2198,2067,2086,2086,151200
30/1/2023,2109,2152,2055,2125,2125,100200
31/1/2023,2124,2124,2037,2100,2100,102400
1/2/2023,2119,2243,2115,2162,2162,145400
2/2/2023,2198,2254,2167,2175,2175,112000
3/2/2023,2171,2204,2135,2173,2173,65600
6/2/2023,2183,2185,2102,2128,2128,64300
7/2/2023,2135,2185,2130,2172,2172,43600
8/2/2023,2168,2249,2168,2249,2249,141600
9/2/2023,2269,2315,2228,2280,2280,139000
10/2/2023,2289,2289,2215,2238,2238,100400
13/2/2023,2210,2210,2065,2077,2077,170900
14/2/2023,2041,2079,1980,2032,2032,220400
15/2/2023,1706,1900,1675,1802,1802,605200
16/2/2023,1836,1931,1830,1925,1925,215700
17/2/2023,1910,1925,1795,1818,1818,169800
20/2/2023,1798,1835,1766,1790,1790,73400
21/2/2023,1771,1776,1702,1720,1720,209900
22/2/2023,1701,1724,1663,1683,1683,128300
24/2/2023,1680,1723,1634,1675,1675,152300
27/2/2023,1672,1675,1582,1612,1612,208900
28/2/2023,1642,1656,1603,1632,1632,106800
1/3/2023,1631,1637,1568,1600,1600,167400
2/3/2023,1620,1640,1602,1632,1632,76100
3/3/2023,1655,1710,1630,1698,1698,137100
6/3/2023,1728,1774,1661,1764,1764,300100
7/3/2023,1760,1786,1720,1752,1752,217000
8/3/2023,1752,1839,1719,1730,1730,280500
9/3/2023,1736,1765,1690,1741,1741,299200
10/3/2023,1739,1764,1692,1692,1692,122700
13/3/2023,1641,1678,1632,1658,1658,119800
14/3/2023,1698,1698,1567,1571,1571,168900
15/3/2023,1601,1618,1456,1483,1483,231400
16/3/2023,1440,1495,1421,1479,1479,155400
17/3/2023,1513,1578,1509,1557,1557,87400
20/3/2023,1548,1550,1482,1483,1483,84800
22/3/2023,1521,1528,1472,1485,1485,49000
23/3/2023,1486,1557,1452,1557,1557,138100
24/3/2023,1584,1598,1536,1582,1582,127400
27/3/2023,1604,1630,1572,1592,1592,108100
28/3/2023,1593,1593,1546,1567,1567,59700
29/3/2023,1592,1621,1570,1578,1578,115800
30/3/2023,1580,1633,1580,1593,1593,82500
31/3/2023,1618,1625,1534,1555,1555,82100
3/4/2023,1555,1581,1544,1558,1558,41400
4/4/2023,1558,1558,1484,1485,1485,100300
5/4/2023,1483,1491,1462,1465,1465,51300
6/4/2023,1456,1459,1389,1402,1402,101100
7/4/2023,1425,1425,1362,1407,1407,69000
10/4/2023,1410,1413,1363,1390,1390,53400
11/4/2023,1386,1423,1386,1404,1404,61200
12/4/2023,1401,1481,1401,1445,1445,93900
13/4/2023,1431,1449,1419,1422,1422,48900
14/4/2023,1425,1442,1403,1426,1426,43400
17/4/2023,1408,1410,1331,1356,1356,122700
18/4/2023,1356,1419,1356,1375,1375,72700
19/4/2023,1363,1375,1315,1332,1332,70200
20/4/2023,1315,1334,1308,1312,1312,60900
21/4/2023,1301,1301,1219,1232,1232,246300
24/4/2023,1239,1266,1196,1223,1223,117300
25/4/2023,1238,1244,1212,1231,1231,55200
26/4/2023,1212,1221,1193,1213,1213,59000
27/4/2023,1203,1223,1190,1208,1208,37400
28/4/2023,1209,1252,1202,1244,1244,65900
1/5/2023,1244,1280,1200,1210,1210,144200
2/5/2023,1208,1230,1184,1226,1226,73100
8/5/2023,1226,1260,1225,1245,1245,59600
9/5/2023,1264,1278,1246,1248,1248,57400
10/5/2023,1253,1253,1210,1210,1210,50400
11/5/2023,1215,1230,1194,1194,1194,39900
12/5/2023,1184,1195,1160,1173,1173,84100
15/5/2023,1152,1165,1130,1163,1163,110500
16/5/2023,968,1157,965,1145,1145,275900
