Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,50.000000,50.290001,49.720001,49.919998,30.526283,4639
2008-01-03,49.130001,49.689999,48.910000,49.689999,30.385645,1419
2008-01-04,49.099998,49.099998,49.099998,49.099998,30.024847,0
2008-01-07,49.119999,49.349998,49.020000,49.200001,30.086000,536
2008-01-08,49.169998,49.200001,49.169998,49.200001,30.086000,39
2008-01-09,49.290001,49.400002,49.290001,49.400002,30.208309,48
2008-01-10,49.099998,49.320000,49.099998,49.200001,30.086000,1024
2008-01-11,48.849998,48.869999,47.939999,47.939999,29.315500,951
2008-01-14,47.220001,47.220001,47.090000,47.090000,28.795732,724
2008-01-15,47.259998,47.330002,46.660000,46.660000,28.532778,255
2008-01-16,46.939999,47.610001,46.400002,47.610001,29.113708,352
2008-01-17,47.009998,47.160000,46.580002,46.580002,28.483860,600
2008-01-18,46.459999,46.459999,46.099998,46.099998,28.190331,215
2008-01-21,45.650002,45.650002,44.400002,44.400002,27.150787,1030
2008-01-22,40.099998,44.700001,40.000000,44.700001,27.334227,23679
2008-01-23,44.220001,44.520000,43.400002,43.400002,26.539274,1040
2008-01-24,45.220001,45.500000,45.169998,45.500000,27.823429,675
2008-01-25,44.849998,45.049999,44.849998,44.939999,27.480991,462
2008-01-28,44.150002,44.150002,44.080002,44.080002,26.955097,123
2008-01-29,44.099998,44.099998,44.099998,44.099998,26.967329,200
2008-01-30,43.779999,43.779999,43.680000,43.680000,26.710491,520
2008-01-31,43.750000,44.000000,42.900002,44.000000,26.906183,587
2008-02-01,44.150002,44.349998,44.150002,44.349998,27.120222,280
2008-02-04,44.549999,44.549999,44.400002,44.400002,27.150787,50
2008-02-05,44.630001,45.099998,44.389999,44.389999,27.144659,389
2008-02-06,44.349998,44.480000,44.259998,44.259998,27.065174,144
2008-02-07,44.669998,44.669998,44.669998,44.669998,27.315887,0
2008-02-08,45.389999,45.389999,45.099998,45.099998,27.578821,525
2008-02-11,44.650002,44.650002,44.509998,44.509998,27.218042,39
2008-02-12,45.430000,45.500000,45.400002,45.500000,27.823429,660
2008-02-13,66.970001,66.970001,66.970001,66.970001,40.952427,0
2008-02-14,45.930000,45.990002,45.689999,45.689999,27.939629,380
2008-02-15,45.450001,45.639999,45.450001,45.599998,27.884579,800
2008-02-18,45.169998,45.849998,45.169998,45.849998,28.037464,4242
2008-02-19,45.500000,45.500000,45.500000,45.500000,27.823429,45
2008-02-20,45.060001,45.060001,45.060001,45.060001,27.554375,0
2008-02-21,44.930000,44.950001,44.650002,44.650002,27.303656,250
2008-02-22,44.520000,44.520000,44.400002,44.459999,27.187468,744
2008-02-25,44.669998,45.150002,44.619999,45.150002,27.609406,71
2008-02-26,45.000000,45.000000,45.000000,45.000000,27.517683,0
2008-02-27,45.000000,45.000000,45.000000,45.000000,27.517683,0
2008-02-28,44.430000,44.439999,44.070000,44.070000,26.948977,1067
2008-02-29,43.849998,44.000000,43.549999,44.000000,26.906183,1067
2008-03-03,43.349998,43.349998,43.349998,43.349998,26.508694,0
2008-03-04,43.500000,43.619999,43.150002,43.150002,26.386404,1583
2008-03-05,43.459999,43.459999,43.459999,43.459999,26.575962,0
2008-03-06,43.619999,43.619999,43.500000,43.500000,26.600422,300
2008-03-07,43.130001,43.130001,43.049999,43.049999,26.325241,15
2008-03-10,42.619999,42.619999,42.619999,42.619999,26.062304,0
2008-03-11,42.820000,42.820000,42.820000,42.820000,26.184607,0
2008-03-12,43.340000,43.349998,42.880001,43.349998,26.508694,123
2008-03-13,42.549999,42.549999,42.549999,42.549999,26.019487,0
2008-03-14,42.599998,42.599998,42.599998,42.599998,26.050064,100
2008-03-17,42.250000,42.400002,41.849998,42.400002,25.927773,956
2008-03-18,42.650002,42.750000,42.509998,42.750000,26.141802,1427
2008-03-19,43.610001,43.930000,43.000000,43.770000,26.765533,1042
2008-03-20,43.459999,44.560001,43.299999,44.560001,27.248608,466
2008-03-25,44.799999,44.799999,44.799999,44.799999,27.395378,0
2008-03-26,44.570000,44.660000,44.400002,44.400002,27.150787,105
2008-03-27,44.099998,44.160000,44.040001,44.040001,26.930632,780
2008-03-28,44.049999,44.230000,44.049999,44.230000,27.046820,0
2008-03-31,44.009998,44.009998,43.450001,43.450001,26.569859,417
2008-04-01,44.549999,45.279999,44.549999,45.279999,27.688913,300
2008-04-02,45.500000,45.549999,45.419998,45.419998,27.774511,385
2008-04-03,44.900002,45.000000,44.900002,45.000000,27.517683,35
2008-04-04,44.900002,44.900002,44.900002,44.900002,27.456530,0
2008-04-07,44.980000,44.980000,44.689999,44.689999,27.328110,270
2008-04-08,44.650002,44.650002,44.500000,44.500000,27.211929,117
2008-04-09,44.549999,44.700001,44.360001,44.360001,27.126318,700
2008-04-10,44.299999,44.349998,44.299999,44.349998,27.120222,500
2008-04-11,44.380001,44.380001,44.200001,44.200001,27.028479,525
2008-04-14,44.400002,44.400002,44.400002,44.400002,27.150787,0
2008-04-15,44.320000,44.320000,44.070000,44.070000,26.948977,400
2008-04-16,44.169998,44.290001,43.849998,43.849998,26.814449,375
2008-04-17,43.270000,43.270000,43.270000,43.270000,26.459782,0
2008-04-18,42.259998,42.259998,42.259998,42.259998,25.842157,0
2008-04-21,42.500000,42.570000,41.830002,42.520000,26.001148,534
2008-04-22,42.470001,42.470001,42.470001,42.470001,25.970579,0
2008-04-23,42.169998,42.169998,42.169998,42.169998,25.787130,0
2008-04-24,42.259998,42.830002,42.259998,42.830002,26.190720,500
2008-04-25,42.570000,42.820000,42.570000,42.820000,26.184607,495
2008-04-28,42.500000,42.700001,42.500000,42.599998,26.050064,6075
2008-04-29,42.340000,42.500000,42.290001,42.459999,25.964470,3095
2008-04-30,42.200001,44.060001,42.200001,44.060001,26.942869,3374
2008-05-02,43.099998,43.520000,43.099998,43.389999,26.533154,175
2008-05-05,43.200001,43.200001,42.980000,42.980000,26.282444,80
2008-05-06,42.970001,42.970001,42.570000,42.570000,26.031717,459
2008-05-07,43.000000,43.419998,43.000000,43.419998,26.551504,250
2008-05-08,42.950001,43.240002,42.790001,42.880001,26.221296,847
2008-05-09,42.570000,42.570000,42.570000,42.570000,26.031717,0
2008-05-12,42.209999,42.209999,42.009998,42.009998,25.689281,815
2008-05-13,42.040001,42.560001,42.040001,42.560001,26.025618,10
2008-05-14,42.430000,42.720001,42.430000,42.720001,26.123451,1187
2008-05-15,42.400002,42.400002,42.180000,42.270000,25.848267,350
2008-05-16,42.759998,42.799999,42.759998,42.799999,26.172369,146
2008-05-19,42.700001,42.990002,42.540001,42.990002,26.288563,417
2008-05-20,42.980000,42.980000,42.279999,42.279999,25.854397,463
2008-05-21,42.000000,42.209999,42.000000,42.209999,25.811588,200
2008-05-22,41.230000,41.250000,41.230000,41.250000,25.224535,201
2008-05-23,41.599998,41.599998,41.500000,41.500000,25.377420,50
2008-05-26,41.330002,41.330002,41.330002,41.330002,25.273466,0
2008-05-27,41.450001,41.450001,41.450001,41.450001,25.346842,0
2008-05-28,41.349998,41.880001,41.349998,41.880001,25.609795,567
2008-05-29,41.470001,42.110001,41.470001,42.110001,25.750441,138
2008-05-30,42.070000,42.419998,42.070000,42.419998,25.939999,525
2008-06-02,42.500000,42.500000,42.220001,42.220001,25.817699,162
2008-06-03,41.919998,41.919998,41.919998,41.919998,25.634258,0
2008-06-04,42.189999,42.189999,42.189999,42.189999,25.799345,0
2008-06-05,42.910000,42.910000,42.910000,42.910000,26.239639,0
2008-06-06,42.330002,42.330002,41.740002,41.740002,25.524178,920
2008-06-09,41.500000,41.500000,41.500000,41.500000,25.377420,0
2008-06-10,42.349998,42.349998,42.320000,42.320000,25.878862,516
2008-06-11,42.889999,42.889999,42.889999,42.889999,26.227415,0
2008-06-12,42.830002,43.200001,42.830002,43.000000,26.294672,308
2008-06-13,42.970001,42.970001,42.970001,42.970001,26.276323,0
2008-06-16,43.400002,43.400002,43.060001,43.060001,26.331358,379
2008-06-17,42.250000,42.509998,42.250000,42.509998,25.995037,2580
2008-06-18,42.599998,42.599998,42.299999,42.299999,25.866627,395
2008-06-19,42.000000,42.000000,41.750000,41.750000,25.530298,278
2008-06-20,41.930000,41.930000,40.750000,40.750000,24.918785,984
2008-06-23,40.470001,40.470001,40.470001,40.470001,24.747574,0
2008-06-24,40.400002,40.400002,40.150002,40.209999,24.588577,493
2008-06-25,40.369999,40.369999,40.369999,40.369999,24.686422,0
2008-06-26,40.599998,40.599998,40.450001,40.450001,24.735336,290
2008-06-27,39.779999,39.779999,39.200001,39.200001,23.970957,260
2008-06-30,38.400002,38.400002,38.200001,38.299999,23.420603,301
2008-07-01,38.450001,38.980000,38.450001,38.980000,23.836432,840
2008-07-02,39.160000,39.200001,39.099998,39.099998,23.909803,143
2008-07-03,39.509998,39.509998,39.509998,39.509998,24.160521,0
2008-07-04,40.490002,40.490002,40.419998,40.419998,24.716988,175
2008-07-07,40.599998,40.750000,40.599998,40.750000,24.918785,400
2008-07-08,40.060001,40.070000,40.060001,40.070000,24.502970,60
2008-07-09,40.349998,40.680000,40.349998,40.400002,24.704765,620
2008-07-10,40.500000,40.500000,40.500000,40.500000,24.765923,0
2008-07-11,40.709999,40.709999,40.250000,40.250000,24.613041,487
2008-07-14,40.220001,40.529999,40.220001,40.529999,24.784256,90
2008-07-15,39.669998,39.799999,39.430000,39.430000,24.111603,1975
2008-07-16,40.470001,40.470001,40.000000,40.139999,24.545774,830
2008-07-17,40.299999,40.299999,39.889999,39.889999,24.392891,270
2008-07-18,40.279999,40.279999,40.009998,40.040001,24.484623,573
2008-07-21,40.150002,40.150002,40.000000,40.000000,24.460159,405
2008-07-22,40.000000,40.500000,40.000000,40.500000,24.765923,198
2008-07-23,40.599998,40.849998,40.599998,40.849998,24.979942,97
2008-07-24,41.220001,41.450001,41.220001,41.450001,25.346842,50
2008-07-25,40.900002,41.200001,40.900002,41.200001,25.193972,193
2008-07-28,41.000000,41.000000,40.490002,40.490002,24.759800,400
2008-07-29,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-07-30,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-07-31,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-01,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-04,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-05,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-06,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-07,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-08,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-11,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-12,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-13,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-14,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-15,40.490002,40.490002,40.490002,40.490002,24.759800,0
2008-08-18,48.529999,48.570000,48.529999,48.570000,29.700747,500
2008-08-19,48.549999,48.549999,48.310001,48.310001,29.541765,200
2008-08-20,47.880001,48.049999,47.880001,48.049999,29.382765,39
2008-08-21,47.450001,47.450001,46.700001,46.860001,28.655073,792
2008-08-22,46.470001,47.389999,46.470001,47.099998,28.801844,872
2008-08-25,48.500000,48.500000,48.320000,48.320000,29.547867,98
2008-08-26,46.910000,47.840000,46.910000,47.750000,29.199318,551
2008-08-27,47.570000,47.570000,47.509998,47.509998,29.052565,65
2008-08-28,47.049999,47.049999,47.049999,47.049999,28.771263,0
2008-08-29,47.950001,47.950001,47.950001,47.950001,29.321629,85
2008-09-01,47.500000,47.500000,47.349998,47.349998,28.954702,40
2008-09-02,47.689999,48.180000,47.689999,48.180000,29.462259,243
2008-09-03,48.599998,48.599998,48.599998,48.599998,29.719091,58
2008-09-04,49.279999,49.279999,48.830002,49.119999,30.037071,167
2008-09-05,48.860001,49.070000,48.860001,49.070000,30.006502,223
2008-09-08,49.400002,50.750000,49.400002,50.750000,31.033829,1230
2008-09-09,50.520000,51.000000,50.520000,50.900002,31.125568,296
2008-09-10,50.700001,52.000000,50.700001,51.930000,31.755392,524
2008-09-11,51.849998,51.849998,51.500000,51.500000,31.492458,275
2008-09-12,52.020000,52.020000,51.500000,51.500000,31.492458,270
2008-09-15,50.000000,50.000000,49.599998,49.799999,30.452902,691
2008-09-16,50.299999,51.000000,50.279999,51.000000,31.186718,2437
2008-09-17,50.500000,50.529999,50.299999,50.400002,30.819809,815
2008-09-18,49.720001,49.930000,49.000000,49.669998,30.373405,611
2008-09-19,50.799999,50.799999,50.419998,50.419998,30.832037,1250
2008-09-22,48.380001,48.380001,47.000000,47.000000,28.740679,1001
2008-09-23,46.099998,46.790001,46.049999,46.790001,28.612278,1570
2008-09-24,46.310001,46.310001,46.020000,46.020000,28.141409,641
2008-09-25,46.450001,46.849998,46.450001,46.459999,28.410480,870
2008-09-26,46.500000,46.900002,46.099998,46.900002,28.679535,3597
2008-09-29,47.049999,48.369999,47.049999,47.520000,29.058678,400
2008-09-30,46.500000,46.950001,46.500000,46.950001,28.710106,1228
2008-10-01,49.070000,49.099998,48.900002,48.900002,29.902542,480
2008-10-02,50.849998,52.000000,50.799999,51.700001,31.614763,1794
2008-10-03,51.509998,52.000000,51.509998,52.000000,31.798204,400
2008-10-06,51.099998,51.189999,50.480000,50.480000,30.868719,1130
2008-10-07,50.540001,50.549999,50.000000,50.189999,30.691385,1739
2008-10-08,47.650002,48.389999,46.700001,47.110001,28.807953,3387
2008-10-09,48.349998,48.349998,48.299999,48.310001,29.541765,164
2008-10-10,44.099998,44.099998,42.230000,42.610001,26.056194,1949
2008-10-13,45.700001,46.240002,45.700001,46.240002,28.275944,550
2008-10-14,46.500000,47.500000,46.500000,47.080002,28.789600,708
